Variable,box0,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29,box30,box31,box32,box33,box34,box35,box36,box37,box38,box39,box40,box41,box42,box43,box44,box45,box46,box47,box48,box49,box50,box51,box52,box53,box54,box55,box56,box57,box58,box59,box60,box61,box62,box63,box64,box65,box66,box67,box68,box69,box70,box71,box72,box73,box74,box75,box76,box77,box78,box79,box80,box81,box82,box83,box84,box85,box86,box87,box88,box89,box90,box91,box92,box93,box94,box95,box96,box97,box98,box99,box100,box101,box102,box103,box104,box105,box106,box107,box108,box109,box110,box111,box112,box113,box114,box115,box116,box117,box118,box119,box120,box121,box122,box123,box124,box125,box126,box127,box128,box129
Sockeye_salmon2_Nums,0,103384,53372,77920,34895,41288,12706,20283,76587,22520,14230,41677,0,56701,84113,47691,98911,0,29151,21011,35077,43161,0,122944,0,0,40218,0,213594,0,0,34270,26822,10019,6425,47097,53024,33742,49805,12843,11347,0,0,0,0,0,0,0,0,0,0,0,0,0,68604,61166,0,18602,23831,0,50849,0,45650,7957,7594,0,20583,0,47185,0,0,0,86808,98053,20344,18744,0,0,0,42363,79766,42791,28872,57981,64624,37463,55761,0,56446,0,34725,27678,21891,0,43366,0,25824,0,16955,0,0,45613,35482,42104,19676,57213,14461,9317,11218,55875,0,46184,13248,66519,43959,21658,25032,8902,38959,30547,41583,54541,83632,10831,22142,0,0,0,0,0
Sockeye_salmon3_Nums,0,60307,31134,45454,20356,24084,7412,11832,44676,13136,8301,24312,0,33075,49066,27820,57698,0,17005,12256,20462,25177,0,71717,0,0,23461,0,124597,0,0,19991,15646,5845,3748,27473,30931,19683,29053,7492,6619,0,0,0,0,0,0,0,0,0,0,0,0,0,40019,35680,0,10851,13901,0,29662,0,26629,4642,4430,0,12007,0,27525,0,0,0,50638,57198,11867,10934,0,0,0,24712,46530,24961,16842,33822,37697,21853,32527,0,32927,0,20256,16146,12770,0,25297,0,15064,0,9890,0,0,26608,20698,24561,11478,33374,8436,5435,6544,32594,0,26941,7728,38803,25643,12634,14602,5193,22726,17819,24256,31815,48785,6318,12916,0,0,0,0,0
Sockeye_salmon4_Nums,0,31015,16012,23376,10469,12386,3812,6085,22976,6756,4269,12503,0,17010,25234,14307,29673,0,8745,6303,10523,12948,0,36883,0,0,12065,0,64078,0,0,10281,8047,3006,1927,14129,15907,10123,14942,3853,3404,0,0,0,0,0,0,0,0,0,0,0,0,0,20581,18350,0,5581,7149,0,15255,0,13695,2387,2278,0,6175,0,14156,0,0,0,26042,29416,6103,5623,0,0,0,12709,23930,12837,8662,17394,19387,11239,16728,0,16934,0,10417,8303,6567,0,13010,0,7747,0,5086,0,0,13684,10645,12631,5903,17164,4338,2795,3365,16762,0,13855,3974,19956,13188,6497,7510,2671,11688,9164,12475,16362,25090,3249,6643,0,0,0,0,0
Sockeye_salmon5_Nums,0,8615,4448,6493,2908,3441,1059,1690,6382,1877,1186,3473,0,4725,7009,3974,8243,0,2429,1751,2923,3597,0,10245,0,0,3352,0,17800,0,0,2856,2235,835,535,3925,4419,2812,4150,1070,946,0,0,0,0,0,0,0,0,0,0,0,0,0,5717,5097,0,1550,1986,0,4237,0,3804,663,633,0,1715,0,3932,0,0,0,7234,8171,1695,1562,0,0,0,3530,6647,3566,2406,4832,5385,3122,4647,0,4704,0,2894,2307,1824,0,3614,0,2152,0,1413,0,0,3801,2957,3509,1640,4768,1205,776,935,4656,0,3849,1104,5543,3663,1805,2086,742,3247,2546,3465,4545,6969,903,1845,0,0,0,0,0
Pink_salmon1_Nums,0,79526,41056,59939,26843,31760,9774,15602,58913,17323,10946,32059,0,43616,64703,36685,76085,0,22424,16162,26982,33201,0,94572,0,0,30937,0,164303,0,0,26361,20633,7707,4942,36229,40788,25956,38312,9879,8728,0,0,0,0,0,0,0,0,0,0,0,0,0,52772,47050,0,14309,18331,0,39114,0,35116,6121,5841,0,15833,0,36297,0,0,0,66775,75425,15649,14418,0,0,0,32587,61358,32916,22209,44601,49711,28818,42893,0,43420,0,26711,21291,16839,0,33359,0,19865,0,13042,0,0,35087,27294,32388,15136,44010,11124,7167,8629,42981,0,35526,10190,51168,33814,16660,19255,6848,29968,23498,31987,41954,64332,8331,17032,0,0,0,0,0
Pink_salmon2_Nums,0,47716,24633,35963,16106,19056,5864,9361,35348,10394,6568,19236,0,26170,38822,22011,45651,0,13454,9697,16189,19920,0,56743,0,0,18562,0,98582,0,0,15817,12380,4624,2965,21737,24473,15573,22987,5928,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,31663,28230,0,8586,10999,0,23469,0,21069,3673,3505,0,9500,0,21778,0,0,0,40065,45255,9389,8651,0,0,0,19552,36815,19750,13325,26760,29826,17291,25736,0,26052,0,16027,12774,10103,0,20015,0,11919,0,7825,0,0,21052,16376,19433,9081,26406,6675,4300,5178,25788,0,21316,6114,30701,20289,9996,11553,4109,17981,14099,19192,25173,38599,4999,10219,0,0,0,0,0
Pink_salmon3_Nums,0,27834,14369,20979,9395,11116,3421,5461,20620,6063,3831,11221,0,15266,22646,12840,26630,0,7848,5657,9444,11620,0,33100,0,0,10828,0,57506,0,0,9226,7221,2697,1730,12680,14276,9085,13409,3458,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,18470,16468,0,5008,6416,0,13690,0,12290,2142,2044,0,5542,0,12704,0,0,0,23371,26399,5477,5046,0,0,0,11405,21475,11521,7773,15610,17399,10086,15013,0,15197,0,9349,7452,5894,0,11676,0,6953,0,4565,0,0,12280,9553,11336,5297,15403,3893,2508,3020,15043,0,12434,3567,17909,11835,5831,6739,2397,10489,8224,11195,14684,22516,2916,5961,0,0,0,0,0
Pink_salmon4_Nums,0,14315,7390,10789,4832,5717,1759,2808,10604,3118,1970,5771,0,7851,11646,6603,13695,0,4036,2909,4857,5976,0,17023,0,0,5569,0,29575,0,0,4745,3714,1387,890,6521,7342,4672,6896,1778,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,9499,8469,0,2576,3300,0,7041,0,6321,1102,1051,0,2850,0,6533,0,0,0,12020,13577,2817,2595,0,0,0,5866,11044,5925,3998,8028,8948,5187,7721,0,7816,0,4808,3832,3031,0,6005,0,3576,0,2348,0,0,6316,4913,5830,2724,7922,2002,1290,1553,7737,0,6395,1834,9210,6087,2999,3466,1233,5394,4230,5758,7552,11580,1500,3066,0,0,0,0,0
Pink_salmon5_Nums,0,3976,2053,2997,1342,1588,489,780,2946,866,547,1603,0,2181,3235,1834,3804,0,1121,808,1349,1660,0,4729,0,0,1547,0,8215,0,0,1318,1032,385,247,1811,2039,1298,1916,494,436,0,0,0,0,0,0,0,0,0,0,0,0,0,2639,2353,0,715,917,0,1956,0,1756,306,292,0,792,0,1815,0,0,0,3339,3771,782,721,0,0,0,1629,3068,1646,1110,2230,2486,1441,2145,0,2171,0,1336,1065,842,0,1668,0,993,0,652,0,0,1754,1365,1619,757,2200,556,358,431,2149,0,1776,510,2558,1691,833,963,342,1498,1175,1599,2098,3217,417,852,0,0,0,0,0
Chum_salmon1_Nums,0,398,205,300,134,159,49,78,295,87,55,160,0,218,324,183,380,0,112,81,135,166,0,473,0,0,155,0,822,0,0,132,103,39,25,181,204,130,192,49,44,0,0,0,0,0,0,0,0,0,0,0,0,0,264,235,0,72,92,0,196,0,176,31,29,0,79,0,181,0,0,0,334,377,78,72,0,0,0,163,307,165,111,223,249,144,214,0,217,0,134,106,84,0,167,0,99,0,65,0,0,175,136,162,76,220,56,36,43,215,0,178,51,256,169,83,96,34,150,117,160,210,322,42,85,0,0,0,0,0
Chum_salmon2_Nums,0,239,123,180,81,95,29,47,177,52,33,96,0,131,194,110,228,0,67,48,81,100,0,284,0,0,93,0,493,0,0,79,62,23,15,109,122,78,115,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,158,141,0,43,55,0,117,0,105,18,18,0,47,0,109,0,0,0,200,226,47,43,0,0,0,98,184,99,67,134,149,86,129,0,130,0,80,64,51,0,100,0,60,0,39,0,0,105,82,97,45,132,33,22,26,129,0,107,31,154,101,50,58,21,90,70,96,126,193,25,51,0,0,0,0,0
Chum_salmon3_Nums,0,139,72,105,47,56,17,27,103,30,19,56,0,76,113,64,133,0,39,28,47,58,0,166,0,0,54,0,288,0,0,46,36,13,9,63,71,45,67,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,92,82,0,25,32,0,68,0,61,11,10,0,28,0,64,0,0,0,117,132,27,25,0,0,0,57,107,58,39,78,87,50,75,0,76,0,47,37,29,0,58,0,35,0,23,0,0,61,48,57,26,77,19,13,15,75,0,62,18,90,59,29,34,12,52,41,56,73,113,15,30,0,0,0,0,0
Chum_salmon4_Nums,0,72,37,54,24,29,9,14,53,16,10,29,0,39,58,33,68,0,20,15,24,30,0,85,0,0,28,0,148,0,0,24,19,7,4,33,37,23,34,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,47,42,0,13,16,0,35,0,32,6,5,0,14,0,33,0,0,0,60,68,14,13,0,0,0,29,55,30,20,40,45,26,39,0,39,0,24,19,15,0,30,0,18,0,12,0,0,32,25,29,14,40,10,6,8,39,0,32,9,46,30,15,17,6,27,21,29,38,58,7,15,0,0,0,0,0
Chum_salmon5_Nums,0,20,10,15,7,8,2,4,15,4,3,8,0,11,16,9,19,0,6,4,7,8,0,24,0,0,8,0,41,0,0,7,5,2,1,9,10,6,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,4,5,0,10,0,9,2,1,0,4,0,9,0,0,0,17,19,4,4,0,0,0,8,15,8,6,11,12,7,11,0,11,0,7,5,4,0,8,0,5,0,3,0,0,9,7,8,4,11,3,2,2,11,0,9,3,13,8,4,5,2,7,6,8,10,16,2,4,0,0,0,0,0
Other_salmonids1_Nums,0,3400,1755,2563,1148,1358,418,667,2519,741,468,1371,0,1865,2766,1568,3253,0,959,691,1154,1419,0,4043,0,0,1323,0,7025,0,0,1127,882,330,211,1549,1744,1110,1638,422,373,0,0,0,0,0,0,0,0,0,0,0,0,0,2256,2012,0,612,784,0,1672,0,1501,262,250,0,677,0,1552,0,0,0,2855,3225,669,616,0,0,0,1393,2623,1407,950,1907,2125,1232,1834,0,1856,0,1142,910,720,0,1426,0,849,0,558,0,0,1500,1167,1385,647,1882,476,306,369,1838,0,1519,436,2188,1446,712,823,293,1281,1005,1368,1794,2750,356,728,0,0,0,0,0
Other_salmonids2_Nums,0,2040,1053,1538,689,815,251,400,1511,444,281,822,0,1119,1660,941,1952,0,575,415,692,852,0,2426,0,0,794,0,4215,0,0,676,529,198,127,929,1046,666,983,253,224,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,1207,0,367,470,0,1003,0,901,157,150,0,406,0,931,0,0,0,1713,1935,401,370,0,0,0,836,1574,844,570,1144,1275,739,1100,0,1114,0,685,546,432,0,856,0,510,0,335,0,0,900,700,831,388,1129,285,184,221,1103,0,911,261,1313,867,427,494,176,769,603,821,1076,1650,214,437,0,0,0,0,0
Other_salmonids3_Nums,0,1360,702,1025,459,543,167,267,1008,296,187,548,0,746,1107,627,1301,0,383,276,461,568,0,1617,0,0,529,0,2810,0,0,451,353,132,85,620,698,444,655,169,149,0,0,0,0,0,0,0,0,0,0,0,0,0,902,805,0,245,313,0,669,0,601,105,100,0,271,0,621,0,0,0,1142,1290,268,247,0,0,0,557,1049,563,380,763,850,493,734,0,743,0,457,364,288,0,570,0,340,0,223,0,0,600,467,554,259,753,190,123,148,735,0,608,174,875,578,285,329,117,512,402,547,717,1100,142,291,0,0,0,0,0
Other_salmonids4_Nums,0,1020,527,769,344,407,125,200,756,222,140,411,0,559,830,471,976,0,288,207,346,426,0,1213,0,0,397,0,2107,0,0,338,265,99,63,465,523,333,491,127,112,0,0,0,0,0,0,0,0,0,0,0,0,0,677,603,0,184,235,0,502,0,450,79,75,0,203,0,466,0,0,0,856,967,201,185,0,0,0,418,787,422,285,572,638,370,550,0,557,0,343,273,216,0,428,0,255,0,167,0,0,450,350,415,194,564,143,92,111,551,0,456,131,656,434,214,247,88,384,301,410,538,825,107,218,0,0,0,0,0
Other_salmonids5_Nums,0,612,316,461,207,244,75,120,453,133,84,247,0,336,498,282,586,0,173,124,208,256,0,728,0,0,238,0,1264,0,0,203,159,59,38,279,314,200,295,76,67,0,0,0,0,0,0,0,0,0,0,0,0,0,406,362,0,110,141,0,301,0,270,47,45,0,122,0,279,0,0,0,514,580,120,111,0,0,0,251,472,253,171,343,383,222,330,0,334,0,206,164,130,0,257,0,153,0,100,0,0,270,210,249,116,339,86,55,66,331,0,273,78,394,260,128,148,53,231,181,246,323,495,64,131,0,0,0,0,0
